date,product_category,product_name,quantity,unit_price,total_sales,region,customer_type
2023-01-15,Electronics,Smartphone,2,599.99,1199.98,North,Premium
2023-01-15,Electronics,Laptop,1,899.99,899.99,North,Premium
2023-01-16,Home,Coffee Maker,3,79.99,239.97,South,Standard
2023-01-16,Books,Programming Guide,5,49.99,249.95,East,Standard
2023-01-17,Electronics,Headphones,4,149.99,599.96,West,Premium
2023-01-18,Home,Vacuum Cleaner,1,299.99,299.99,North,Standard
2023-01-19,Books,Data Science Book,2,59.99,119.98,East,Premium
2023-01-20,Electronics,Tablet,3,399.99,1199.97,South,Premium
2023-02-01,Home,Kitchen Set,2,199.99,399.98,West,Standard
2023-02-02,Electronics,Smart Watch,4,249.99,999.96,North,Premium
2023-02-03,Books,AI Handbook,1,79.99,79.99,East,Standard
2023-02-05,Home,Blender,2,89.99,179.98,South,Standard
2023-02-08,Electronics,Gaming Console,1,499.99,499.99,West,Premium
2023-02-10,Books,Machine Learning,3,69.99,209.97,East,Premium
2023-02-12,Home,Air Purifier,1,199.99,199.99,North,Standard
2023-02-15,Electronics,Camera,2,799.99,1599.98,South,Premium
2023-03-01,Home,Microwave,1,149.99,149.99,West,Standard
2023-03-03,Books,Python Cookbook,4,45.99,183.96,East,Standard
2023-03-05,Electronics,Speakers,2,199.99,399.98,North,Premium
2023-03-08,Home,Toaster,3,49.99,149.97,South,Standard
2023-03-10,Electronics,Monitor,1,299.99,299.99,West,Premium
2023-03-12,Books,Statistics Guide,2,54.99,109.98,East,Standard
2023-03-15,Home,Food Processor,1,179.99,179.99,North,Standard
2023-03-18,Electronics,Keyboard,5,89.99,449.95,South,Premium
2023-03-20,Books,Business Analytics,1,64.99,64.99,East,Premium
2023-04-02,Electronics,Mouse,6,39.99,239.94,West,Standard
2023-04-05,Home,Dishwasher,1,599.99,599.99,North,Premium
2023-04-08,Books,SQL Reference,3,39.99,119.97,East,Standard
2023-04-10,Electronics,Webcam,4,79.99,319.96,South,Standard
2023-04-12,Home,Iron,2,59.99,119.98,West,Standard
2023-04-15,Electronics,Power Bank,5,49.99,249.95,North,Premium
2023-04-18,Books,Excel Mastery,2,34.99,69.98,East,Standard
2023-04-20,Home,Coffee Grinder,1,129.99,129.99,South,Premium
2023-04-22,Electronics,USB Hub,3,29.99,89.97,West,Standard
2023-04-25,Books,Tableau Guide,1,59.99,59.99,East,Premium